Velocity,,Turbulence intensity,
X,Y,X,Y
0.612284097509262,0.020357849743708245,17.52806802866858,0.020070261705114945
0.6577307612060653,0.029915922791070138,15.522775844860352,0.02876218724800772
0.6872578762469197,0.03752178056468769,14.200505252710943,0.03765711611226097
0.7166087731268713,0.06370244224273547,13.284875688660573,0.063391170483317
0.7619144622949525,0.08812035841364185,12.00496794239217,0.08901695641631457
0.7935244759976767,0.11617203403688992,10.679172987024707,0.11648668918499783
0.8205105251583145,0.15162656411239595,9.89873799601888,0.14969126578209835
0.8361305029407287,0.18515594602367225,9.345624432577523,0.1848209905434286
0.8650760980506043,0.2540586566819105,8.649210260690099,0.2552022420589046
0.8735310454107155,0.3228395653473328,8.226709598109814,0.32194973412203876
0.9002351455139086,0.38801378166992784,8.031882799415802,0.3887648939589594
0.9200561642522431,0.45871983849957987,7.517960154959203,0.4573427993030218
0.9239752561507186,0.5256161996650442,7.277246147166132,0.5260019059756281
0.9461258789761866,0.5907633488781245,6.991702239239414,0.5909325183125911
0.9568575649751605,0.6595577910983041,6.978662095332615,0.6596592927589842
0.9698836114290872,0.7265082864827981,6.374022341643313,0.7263526506030888
0.9783561806052883,0.7934317147577774,6.1791955429493015,0.7931678104400096
0.9913469834270343,0.8640971709231574,5.3461770527301145,0.8635084612912137
0.9975075703321925,0.9347220264242655,4.831901971951709,0.9339438470257191
0.996890806769033,0.9997338400897724,4.864749037143968,1.0008266746364265
